[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 167: silhouette_mean=0.645837, so_diem=315
- Cluster 168: silhouette_mean=0.556267, so_diem=873
- Cluster 169: silhouette_mean=0.820434, so_diem=122
- Cluster 170: silhouette_mean=0.552751, so_diem=177
- Cluster 171: silhouette_mean=0.575192, so_diem=289
- Cluster 172: silhouette_mean=0.678402, so_diem=179
- Cluster 173: silhouette_mean=0.403238, so_diem=69
- Cluster 174: silhouette_mean=0.575712, so_diem=465
- Cluster 175: silhouette_mean=0.434362, so_diem=502
- Cluster 176: silhouette_mean=0.298859, so_diem=171
- Cluster 177: silhouette_mean=0.591961, so_diem=180
- Cluster 178: silhouette_mean=0.794841, so_diem=61
- Cluster 179: silhouette_mean=0.486455, so_diem=171
- Cluster 180: silhouette_mean=0.877421, so_diem=102
- Cluster 181: silhouette_mean=0.814898, so_diem=142
- Cluster 182: silhouette_mean=0.718089, so_diem=153
- Cluster 183: silhouette_mean=0.765714, so_diem=163
- Cluster 184: silhouette_mean=0.719576, so_diem=1004
- Cluster 185: silhouette_mean=0.366334, so_diem=283
- Cluster 186: silhouette_mean=0.711978, so_diem=360
- Cluster 187: silhouette_mean=0.519670, so_diem=379
- Cluster 188: silhouette_mean=0.263445, so_diem=315
- Cluster 189: silhouette_mean=0.583537, so_diem=107
- Cluster 190: silhouette_mean=0.286337, so_diem=224
- Cluster 191: silhouette_mean=0.295914, so_diem=234
- Cluster 192: silhouette_mean=0.389201, so_diem=388
- Cluster 193: silhouette_mean=0.348527, so_diem=606
- Cluster 194: silhouette_mean=0.398085, so_diem=313
- Cluster 195: silhouette_mean=0.298053, so_diem=556
- Cluster 196: silhouette_mean=0.331027, so_diem=593
- Cluster 197: silhouette_mean=0.375998, so_diem=130
- Cluster 198: silhouette_mean=0.441893, so_diem=148
- Cluster 199: silhouette_mean=0.688587, so_diem=51
- Cluster 200: silhouette_mean=0.437232, so_diem=1181
- Cluster 201: silhouette_mean=0.565694, so_diem=260
- Cluster 202: silhouette_mean=0.784019, so_diem=642
- Cluster 203: silhouette_mean=0.537796, so_diem=343
- Cluster 204: silhouette_mean=0.331686, so_diem=328
- Cluster 205: silhouette_mean=0.379650, so_diem=371
- Cluster 206: silhouette_mean=0.361649, so_diem=466
- Cluster 207: silhouette_mean=0.208923, so_diem=268
- Cluster 208: silhouette_mean=0.377283, so_diem=726
- Cluster 209: silhouette_mean=0.337397, so_diem=457
- Cluster 210: silhouette_mean=0.377318, so_diem=617
- Cluster 211: silhouette_mean=0.358369, so_diem=185
- Cluster 212: silhouette_mean=0.309325, so_diem=153
- Cluster 213: silhouette_mean=0.386165, so_diem=477
- Cluster 214: silhouette_mean=0.667079, so_diem=194
- Cluster 215: silhouette_mean=0.462922, so_diem=127
- Cluster 216: silhouette_mean=0.668779, so_diem=75
- Cluster 217: silhouette_mean=0.642233, so_diem=416
- Cluster 218: silhouette_mean=0.364026, so_diem=338
- Cluster 219: silhouette_mean=0.321018, so_diem=561
- Cluster 220: silhouette_mean=0.375266, so_diem=449
- Cluster 221: silhouette_mean=0.342914, so_diem=657
- Cluster 222: silhouette_mean=0.443713, so_diem=795
- Cluster 223: silhouette_mean=0.338039, so_diem=572
- Cluster 224: silhouette_mean=0.349416, so_diem=223
- Cluster 225: silhouette_mean=0.374819, so_diem=377
- Cluster 226: silhouette_mean=0.405721, so_diem=398
- Cluster 227: silhouette_mean=0.349031, so_diem=269
- Cluster 228: silhouette_mean=0.515250, so_diem=327
- Cluster 229: silhouette_mean=0.281976, so_diem=292
- Cluster 230: silhouette_mean=0.377226, so_diem=338
- Cluster 231: silhouette_mean=0.375753, so_diem=621
- Cluster 232: silhouette_mean=0.405869, so_diem=657
- Cluster 233: silhouette_mean=0.465432, so_diem=284
- Cluster 234: silhouette_mean=0.355629, so_diem=299
- Cluster 235: silhouette_mean=0.722782, so_diem=225
- Cluster 236: silhouette_mean=0.544073, so_diem=294
- Cluster 237: silhouette_mean=0.663936, so_diem=565
- Cluster 238: silhouette_mean=0.237361, so_diem=281
- Cluster 239: silhouette_mean=0.346590, so_diem=320
- Cluster 240: silhouette_mean=0.330956, so_diem=324
- Cluster 241: silhouette_mean=0.398520, so_diem=414
- Cluster 242: silhouette_mean=0.359668, so_diem=279
- Cluster 243: silhouette_mean=0.386580, so_diem=213
- Cluster 244: silhouette_mean=0.402918, so_diem=396
- Cluster 245: silhouette_mean=0.442866, so_diem=529
- Cluster 246: silhouette_mean=0.860523, so_diem=42
- Cluster 247: silhouette_mean=0.539118, so_diem=843
- Cluster 248: silhouette_mean=0.320104, so_diem=311
- Cluster 249: silhouette_mean=0.405614, so_diem=365
- Cluster 250: silhouette_mean=0.368338, so_diem=688
- Cluster 251: silhouette_mean=0.364721, so_diem=372
- Cluster 252: silhouette_mean=0.376757, so_diem=366
- Cluster 253: silhouette_mean=0.531781, so_diem=251
- Cluster 254: silhouette_mean=0.389967, so_diem=362
- Cluster 255: silhouette_mean=0.249628, so_diem=206
- Cluster 256: silhouette_mean=0.709535, so_diem=128
- Cluster 257: silhouette_mean=0.330302, so_diem=394
- Cluster 258: silhouette_mean=0.590416, so_diem=139
- Cluster 259: silhouette_mean=0.571578, so_diem=622
- Cluster 260: silhouette_mean=0.734646, so_diem=273
- Cluster 261: silhouette_mean=0.583093, so_diem=222
- Cluster 262: silhouette_mean=0.662243, so_diem=565
- Cluster 263: silhouette_mean=0.711835, so_diem=846
- Cluster 264: silhouette_mean=0.403543, so_diem=201
- Cluster 265: silhouette_mean=0.598528, so_diem=359
- Cluster 266: silhouette_mean=0.415587, so_diem=378
- Cluster 267: silhouette_mean=0.475568, so_diem=183
- Cluster 268: silhouette_mean=0.638300, so_diem=275
- Cluster 269: silhouette_mean=0.692647, so_diem=1026
- Cluster 270: silhouette_mean=0.510926, so_diem=359
- Cluster 271: silhouette_mean=0.261750, so_diem=210
- Cluster 272: silhouette_mean=0.923495, so_diem=275
- Cluster 273: silhouette_mean=0.389615, so_diem=1070
- Cluster 274: silhouette_mean=0.329362, so_diem=290
- Cluster 275: silhouette_mean=0.579567, so_diem=199
- Cluster 276: silhouette_mean=0.675498, so_diem=622
- Cluster 277: silhouette_mean=0.281061, so_diem=345
- Cluster 278: silhouette_mean=0.703360, so_diem=203
