[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.428049

Silhouette trung bình theo từng cluster:
- Cluster 171: silhouette_mean=0.240332, so_diem=26
- Cluster 172: silhouette_mean=0.440600, so_diem=115
- Cluster 173: silhouette_mean=0.283068, so_diem=23
- Cluster 174: silhouette_mean=0.403088, so_diem=13
- Cluster 175: silhouette_mean=0.359851, so_diem=4
- Cluster 176: silhouette_mean=0.493857, so_diem=141
- Cluster 177: silhouette_mean=0.506734, so_diem=146
- Cluster 178: silhouette_mean=0.469633, so_diem=155
- Cluster 179: silhouette_mean=0.415159, so_diem=174
- Cluster 180: silhouette_mean=0.500676, so_diem=151
- Cluster 181: silhouette_mean=0.432793, so_diem=147
- Cluster 182: silhouette_mean=0.467266, so_diem=169
- Cluster 183: silhouette_mean=0.326563, so_diem=18
- Cluster 184: silhouette_mean=0.429803, so_diem=172
- Cluster 185: silhouette_mean=0.551988, so_diem=143
- Cluster 186: silhouette_mean=0.424030, so_diem=164
- Cluster 187: silhouette_mean=0.455645, so_diem=153
- Cluster 188: silhouette_mean=0.260860, so_diem=31
- Cluster 189: silhouette_mean=0.338646, so_diem=21
- Cluster 190: silhouette_mean=0.435308, so_diem=165
- Cluster 191: silhouette_mean=0.487255, so_diem=163
- Cluster 192: silhouette_mean=0.422370, so_diem=4
- Cluster 193: silhouette_mean=0.318816, so_diem=6
- Cluster 194: silhouette_mean=0.292500, so_diem=5

Top các điểm có Silhouette thấp nhất (khó phân cụm):
+ Diem 1657: x=5242.000000, y=1420.470631, cluster=91, silhouette=-0.325148
+ Diem 1490: x=2172.000000, y=2657.626632, cluster=18, silhouette=-0.252308
+ Diem 4863: x=5085.000000, y=926.214390, cluster=90, silhouette=-0.218065
+ Diem 6469: x=7179.000000, y=1146.514965, cluster=89, silhouette=-0.189998
+ Diem 6944: x=6811.000000, y=999.220936, cluster=89, silhouette=-0.185396
+ Diem 2286: x=532.000000, y=451.159924, cluster=20, silhouette=-0.173946
+ Diem 4155: x=271.000000, y=451.083538, cluster=20, silhouette=-0.163453
+ Diem 9574: x=5998.000000, y=504.959189, cluster=74, silhouette=-0.149194
+ Diem 2269: x=816.000000, y=406.949963, cluster=46, silhouette=-0.131725
+ Diem 4991: x=6261.000000, y=560.771711, cluster=74, silhouette=-0.130469

Davies-Bouldin = 0.759548
